Наименование;Наименование артикула;Артикул;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Цвет;Объем встроенной памяти;Размер;Изображения;Изображения
Какао-порошок 10/12 250гр Италия;10339;10339;RUB;199;1;;;2;;;;1;;;;;;;;;;;;;
Какао-порошок 10/12 Италия 1 кг;10341;10341;RUB;750;1;;;1;;;;1;;;;;;;;;;;;;
Какао-порошок BARRY 100гр;10746;10746;RUB;135;1;;;15;;;;1;;;;;;;;;;;;;
Кандурин Бордовый 8гр;;;RUB;160;1;;;6;;;;1;;;;;;;;;;;;;
Кандурин Голубой 10 гр;11440;11440;RUB;160;1;;;1;;;;1;;;;;;;;;;;;;
Кандурин Жемчуг 8 гр;11155;11155;RUB;160;1;;;4;;;;1;;;;;;;;;;;;;
Кандурин Золотой 8 гр;11170;11170;RUB;160;1;;;6;;;;1;;;;;;;;;;;;;
Кандурин Изумрудный 10 гр;11159;11159;RUB;150;1;;;4;;;;1;;;;;;;;;;;;;
Кандурин Коралловый 10гр;12747;12747;RUB;160;1;;;1;;;;1;;;;;;;;;;;;;
Кандурин Небесно голубой 10гр;12752;12752;RUB;160;1;;;3;;;;1;;;;;;;;;;;;;
Кандурин Персиковый 8гр;;;RUB;160;1;;;8;;;;1;;;;;;;;;;;;;
Кандурин Розовый Электро 8 гр;11441;11441;RUB;160;1;;;10;;;;1;;;;;;;;;;;;;
Кандурин Салатовый 10гр;11166;11166;RUB;160;1;;;8;;;;1;;;;;;;;;;;;;
Кандурин Серебро 10 гр;11169;11169;RUB;160;1;;;5;;;;1;;;;;;;;;;;;;
Кандурин Синий 8гр;12748;12748;RUB;160;1;;;2;;;;1;;;;;;;;;;;;;
Кандурин Сиреневый 10гр;12751;12751;RUB;160;1;;;5;;;;1;;;;;;;;;;;;;
Кандурин Темно зеленый 10гр;;;RUB;160;1;;;2;;;;1;;;;;;;;;;;;;
Кандурин Фиолетовый 8гр;11167;11167;RUB;160;1;;;6;;;;1;;;;;;;;;;;;;
Кандурин Фиолетовый электро 8 гр;13266;13266;RUB;160;1;;;2;;;;1;;;;;;;;;;;;;
Кандурин Черный 10 гр;11154;11154;RUB;160;1;;;5;;;;1;;;;;;;;;;;;;
Кандурин темно-фиолетовый 8гр;;;RUB;160;1;;;3;;;;1;;;;;;;;;;;;;
Капсула для эклеров 28х110 20 шт;10758;10758;RUB;20;1;;;26;;;;1;;;;;;;;;;;;;
Капсулы бумажниые для конфет 35х15;13672;13672;RUB;12;1;;;50;;;;1;;;;;;;;;;;;;
Капсулы бумажниые для конфет квадрат 35х35;13674;13674;RUB;12;1;;;39;;;;1;;;;;;;;;;;;;
Капсулы бумажные для кексов d55 х h35;13611;13611;RUB;20;1;;;47;;;;1;;;;;;;;;;;;;
Капсулы бумажные для кексов d55 х h43;10752;10752;RUB;20;1;;;36;;;;1;;;;;;;;;;;;;
Капсулы бумажные для конфет 18х25мм;13233;13233;RUB;12;1;;;207;;;;1;;;;;;;;;;;;;
Капсулы бумажные для конфет 35х23мм;13235;13235;RUB;15;1;;;530;;;;1;;;;;;;;;;;;;
Капсулы для эклеров 28х110 20 шт коричневые;;;RUB;30;1;;;29;;;;1;;;;;;;;;;;;;
Карамелизатор Зелёный;11492;11492;RUB;395;1;;;3;;;;1;;;;;;;;;;;;;
Каробка для конфет 160х160х30мм Тиффани;12753;12753;RUB;55;1;;;41;;;;1;;;;;;;;;;;;;
Каробка для торта 24х24х26 см с окном;242426CO;242426CO;RUB;70;1;;;19;;;;1;;;;;;;;;;;;;
Каробка для торта 26х26х28 см с окном;262628CO;262628CO;RUB;74;1;;;16;;;;1;;;;;;;;;;;;;
Каробка для торта 28х28х30 см с окном;282830CO;282830CO;RUB;91;1;;;50;;;;1;;;;;;;;;;;;;
Картоная упаковка с ручкой 18х18х22 см;12269;12269;RUB;59;1;;;25;;;;1;;;;;;;;;;;;;
